Program,HH_Composition,HH_Income,Housing_Cost,Education_Track,Gentrification,Graduated,Education_TrackY
REG,1,29251,11784,,4,0,0
REG,4,30288,19836,,3,0,0
REG,4,30288,19836,,3,0,0
PHRR,6,36793,23808,,4,0,0
PHRR,6,36793,23808,,4,0,0
REG,2,14040,14316,,4,0,0
PHRR,7,14704,22044,,3,0,0
REG,3,22868,11388,,4,0,0
REG,3,13896,13128,,4,0,0
REG,2,17290,13884,,4,0,0
REG,2,26331,12924,,3,0,0
REG,2,27159,18192,,4,0,0
REG,7,24533,17604,,3,0,0
REG,7,24533,17604,,3,0,0
REG,7,24533,17604,,3,0,0
PHRR,1,22116,13728,,4,0,0
REG,3,33038,15480,,3,0,0
REG,3,9391,28668,,1,0,0
REG,2,32430,15276,,3,0,0
REG,2,32430,15276,,3,0,0
REG,5,8177,20784,,4,0,0
REG,2,11727,23112,,4,0,0
REG,2,11727,23112,,4,0,0
REG,2,17680,19068,,4,0,0
REG,1,7748,14268,,2,0,0
REG,1,27040,20856,,0,0,0
REG,4,27172,22764,,4,0,0
REG,3,19451,15552,,4,0,0
SPHVS,4,12479,19152,,4,0,0
REG,4,31163,18972,,4,0,0
REG,2,20270,14208,,4,0,0
REG,3,18031,19272,,4,0,0
REG,3,23832,43800,,1,0,0
REG,3,16017,16848,Behavioral Health Counseling and Services; Job Placement for Long Term Unemployed,3,0,1
REG,3,16017,16848,Behavioral Health Counseling and Services; Job Placement for Long Term Unemployed,3,0,1
REG,6,26165,21564,,3,0,0
REG,3,24869,24132,,3,0,0
REG,5,26004,22680,,4,0,0
REG,2,29449,14220,,3,0,0
REG,2,23912,14328,,4,0,0
REG,4,18980,18540,,4,0,0
REG,4,13523,19776,,4,0,0
PHRR,3,27664,23352,,4,0,0
PHRR,3,27664,23352,,4,0,0
PHRR,3,27664,23352,,4,0,0
REG,5,14334,20244,,4,0,0
REG,4,12792,13764,,2,0,0
REG,2,27713,16224,,4,0,0
REG,5,15935,15912,,4,0,0
REG,6,9258,24240,,4,0,0
REG,4,14768,18480,,3,0,0
REG,5,49771,27228,,1,0,0
REG,5,49771,27228,,1,0,0
REG,3,11050,16932,,4,0,0
REG,2,29300,11388,,4,0,0
REG,2,15600,18120,,4,0,0
REG,3,21240,15072,,4,0,0
REG,4,20800,21600,,3,0,0
REG,5,24398,19776,,4,0,0
REG,5,20384,15264,,4,0,0
REG,2,10192,22128,,0,0,0
REG,2,12740,13956,,3,0,0
REG,3,12870,16332,,3,0,0
REG,6,43958,22500,Job Placement for Long Term Unemployed,3,0,1
